,5,4,3,2,1
Fat Rascal,157,18,0,3,0
Le Nautique,689,171,66,16,11
The Conservatory at Moores Hotel,128,37,3,3,1
La Reunion,252,70,13,9,0
Village East,250,96,17,6,3
The Old Quarter Restaurant,407,129,31,3,2
China Red,659,108,37,23,18
The Wellington Boot Restaurant,162,46,10,7,5
Copenhagen Bar & Grill,199,52,20,5,7
Red Grill House and Cocktail Bar,279,63,24,8,9
La Piazza,199,57,17,6,9
Cobo Tearoom,138,58,22,4,2
La perla,317,136,28,11,11
Pier 17,487,181,56,17,8
Le Gouffre Cafe and Restaurant,202,89,16,5,9
Da Nello,492,202,67,24,21
Old Government House Brasserie,160,54,19,8,4
Gusto Italian,93,18,6,0,2
The Lobster & Grill,116,37,11,8,2
The Captains,116,55,24,3,3
The Hook,185,62,22,12,9
The Crow's Nest,170,125,37,17,12
The Pickled Pig,113,64,25,1,4
The Rockmount Restaurant and Bar,269,166,45,18,18
The Boathouse,524,479,157,47,31
Christies,525,357,94,25,17
Le Petit Bistro,638,271,79,26,28
Le Petit Cafe,133,72,11,6,9
Crabby Jack's,264,177,60,19,14
The Queens Inn,74,43,11,5,1
